epoch,train_loss,val_loss,val_r2,val_pearson,val_mae_avg,grad_norm,lr,epoch_time,total_time,MAE_Phys_P0,MAE_Phys_P1,MAE_Phys_P2
80,0.01786192994529066,0.011118170581286467,0.989006757736206,0.9945976734161377,0.042251762,0.052985378502371214,0.004989932561741048,22.66,1956.45,0.056514133,0.060559865,0.009681287
81,0.017917738174097225,0.011885641496392745,0.9882161021232605,0.9942660331726074,0.040317055,0.05353014963194014,0.004985507943869899,22.66,1979.11,0.050740797,0.05978759,0.010422777
82,0.017656861021876715,0.012276989749715299,0.9878398776054382,0.9941394925117493,0.046053063,0.05311655687590758,0.004980282339136715,22.67,2001.78,0.058973376,0.068789154,0.010396658
83,0.017567235440872728,0.010984211782865886,0.9891235828399658,0.9945785999298096,0.04077481,0.0529473705556446,0.004974257431566521,22.69,2024.47,0.049241804,0.06332088,0.009761749
84,0.017538884196418542,0.01192081578170197,0.9881708025932312,0.9943694472312927,0.045752842,0.052580007747672616,0.004967435162770986,22.58,2047.05,0.062002517,0.064546496,0.0107095195
85,0.0176086303905938,0.011486930183217496,0.9885972142219543,0.9944498538970947,0.040723592,0.0536907932605035,0.004959817731322709,22.65,2069.7,0.057027988,0.055065513,0.010077272
86,0.017224718587467085,0.011253810381587548,0.988844096660614,0.994661808013916,0.045862433,0.05046534594207907,0.004951407592046698,22.61,2092.3,0.050681893,0.077298865,0.009606536
87,0.01729610857491295,0.01134722745871242,0.9887711405754089,0.9944705367088318,0.042449098,0.053232043445967256,0.004942207455229271,22.62,2114.92,0.050453685,0.06643711,0.010456496
88,0.017220384396684055,0.011102026021933253,0.9890036582946777,0.9946504235267639,0.03939139,0.047884645827186,0.0049322202857446235,22.6,2137.52,0.049704645,0.058110148,0.010359381
89,0.01695891767264174,0.011090456684933433,0.9890037178993225,0.9946944117546082,0.042582233,0.05086042204746804,0.00492144930209936,22.64,2160.16,0.0554558,0.06261049,0.009680399
90,0.01703201391445562,0.01189119076427025,0.9882221221923828,0.9945673942565918,0.047083065,0.0516326225008637,0.004909897975395283,22.63,2182.79,0.052324563,0.078631274,0.010293354
91,0.017086185967198575,0.011373009862779062,0.9887328147888184,0.9946243166923523,0.042725194,0.04778842294154266,0.004897570028210779,22.63,2205.41,0.0639325,0.054454762,0.009788322
92,0.01697079137491342,0.011730635467963883,0.9883854985237122,0.9945489764213562,0.04094363,0.049886244131972235,0.004884469433401169,22.55,2227.97,0.05899371,0.052897617,0.010939559
93,0.0166471530073367,0.011537025246439101,0.9885640144348145,0.9946383833885193,0.039770097,0.046688491478562355,0.0048706004128183985,22.63,2250.59,0.053685244,0.055429965,0.010195077
94,0.016785457111395206,0.010950565338134766,0.9891605973243713,0.994685173034668,0.042246047,0.049098840060706334,0.004855967435950482,22.63,2273.22,0.052549973,0.064824864,0.009363313
95,0.016706597690765088,0.011238506323174585,0.988882839679718,0.9945411086082458,0.038771395,0.04980191448554635,0.0048405752184811565,22.62,2295.84,0.055870723,0.05073463,0.009708832
96,0.016582123387735872,0.010618820975098428,0.98948073387146,0.9947999119758606,0.035926454,0.04847386434745674,0.004824428720770174,22.57,2318.41,0.04921408,0.048636008,0.00992928
97,0.016416482651195587,0.010791331152372722,0.9893245697021484,0.9948208332061768,0.04002131,0.0459205598150865,0.004807533146254764,22.68,2341.08,0.051232073,0.058912992,0.009918879
98,0.01650209091722775,0.010293321518958369,0.9898176193237305,0.9950911402702332,0.037713006,0.04834323180036042,0.00478989393977275,22.56,2363.64,0.049859755,0.053996842,0.009282423
